t,event,method,sid,success,reason,src,dst,L,bw,N,num_paths,latency_ms,cost_total,cost_bw,cost_cpu,emp_reli_pred,fail_idx,new_active,topo_size,sfc_len_group
98,place,BEAR-TORCH,2160,1,,29,12,5,1.1132338843300167,3,3,5.4708600086546255,20.009552479485073,5.009552479485075,15.0,0.9930429411012303,,,,
99,place,BEAR-TORCH,2161,1,,18,9,5,0.8875976014159339,2,2,5.362406215599199,16.213183209911538,6.213183209911538,10.0,0.9969065889007802,,,,
1,place,BEAR-TORCH,2162,0,not_enough_disjoint_paths,10,30,5,1.2197174966391806,5,0,,,,,,,,,
3,place,BEAR-TORCH,2163,1,,12,32,3,1.1019177002747964,5,5,5.112577889425605,18.30575310082439,3.305753100824389,15.0,0.9851247920925358,,,,
4,place,BEAR-TORCH,2164,1,,0,8,7,0.890117998729886,5,5,5.880388373939231,37.89288349587213,2.8928834958721295,35.0,0.9831926980346821,,,,
7,place,BEAR-TORCH,2165,1,,30,13,5,0.9397160892435333,3,3,5.320339690426414,19.2287224015959,4.2287224015959,15.0,0.9932481612147593,,,,
9,place,BEAR-TORCH,2166,0,not_enough_disjoint_paths,39,14,7,0.7515561113872291,3,0,,,,,,,,,
10,place,BEAR-TORCH,2167,0,not_enough_disjoint_paths,33,31,5,0.6799032641607273,5,0,,,,,,,,,
12,place,BEAR-TORCH,2168,1,,34,0,3,0.9782078821339689,5,5,5.584909907286804,17.690071675868413,2.6900716758684147,15.0,0.9872804056203094,,,,
17,place,BEAR-TORCH,2169,1,,24,6,5,1.1404305064982811,4,4,6.7000588081854335,25.32200903032531,5.322009030325312,20.0,0.9825962772365573,,,,
18,place,BEAR-TORCH,2170,0,not_enough_disjoint_paths,18,39,3,0.8773089886792547,3,0,,,,,,,,,
